boolector,ppbv,stp,z3
0.00661015510559082,0.011722326278686523,0.007565736770629883,0.2327263355255127
0.0045092105865478516,0.007485866546630859,0.007695198059082031,0.14989566802978516
0.0059680938720703125,0.008370637893676758,0.006290435791015625,0.3108632564544678
0.0065419673919677734,0.00893545150756836,0.0065882205963134766,0.15363502502441406
0.02078557014465332,0.013599872589111328,0.016093730926513672,0.2786130905151367
0.019724369049072266,0.01450657844543457,0.016479015350341797,0.5210239887237549
0.004741668701171875,0.0067293643951416016,0.005523204803466797,0.1436145305633545
0.0052776336669921875,0.008640527725219727,0.008067607879638672,0.2057018280029297
0.0034148693084716797,0.007479429244995117,0.015012025833129883,0.21136903762817383
0.00580286979675293,0.008344650268554688,0.009308099746704102,0.13571810722351074
0.0045359134674072266,0.007144451141357422,0.007798671722412109,0.010372161865234375
0.0047795772552490234,0.006447792053222656,0.006050586700439453,0.2013540267944336
0.004163980484008789,0.007562398910522461,0.005762577056884766,0.12569141387939453
0.0047643184661865234,0.007399559020996094,0.007784366607666016,0.2968170642852783
0.020630359649658203,0.017570018768310547,0.023975133895874023,0.5030539035797119
0.004220724105834961,0.00714111328125,0.005312919616699219,0.23285317420959473
0.004065990447998047,0.00942683219909668,0.005200862884521484,0.10051250457763672
0.004884958267211914,0.010275125503540039,0.007755279541015625,0.33176445960998535
0.02535247802734375,0.016247034072875977,0.02088642120361328,0.6130616664886475
0.005860090255737305,0.008076190948486328,0.006385326385498047,0.2934682369232178
0.00734400749206543,0.008387327194213867,0.01992940902709961,0.20608234405517578
0.005768537521362305,0.007410764694213867,0.009312868118286133,0.16067242622375488
0.007433414459228516,0.011761903762817383,0.009139776229858398,0.244476318359375
0.004973888397216797,0.010439157485961914,0.009597063064575195,0.2884101867675781
0.02161693572998047,0.013479232788085938,0.021529674530029297,0.3733389377593994
0.004595756530761719,0.010149002075195312,0.005935192108154297,0.14299511909484863
0.005991935729980469,0.008207082748413086,0.023694276809692383,0.322765588760376
0.0054378509521484375,0.010430097579956055,0.006768941879272461,0.34483838081359863
0.005321979522705078,0.008822202682495117,0.007972240447998047,0.007044315338134766
0.038442134857177734,0.028689861297607422,0.048563480377197266,0.42284297943115234
0.005327939987182617,0.011139631271362305,0.007535219192504883,0.16526508331298828
0.005667924880981445,0.010909318923950195,0.005738258361816406,0.14347124099731445
0.00480961799621582,0.01021575927734375,0.007322072982788086,0.2270362377166748
0.004634380340576172,0.009952545166015625,0.007631778717041016,0.00829458236694336
0.003731250762939453,0.00949549674987793,0.006747007369995117,0.13011717796325684
0.004933357238769531,0.00810098648071289,0.00747990608215332,0.14705204963684082
0.004965543746948242,0.007131814956665039,0.005661487579345703,0.11264276504516602
0.0039441585540771484,0.0069828033447265625,0.005539417266845703,0.11456465721130371
0.00454401969909668,0.00675654411315918,0.005247592926025391,0.15159392356872559
0.00609278678894043,0.010009050369262695,0.00820302963256836,0.15679574012756348
0.020831584930419922,0.013645648956298828,0.01685023307800293,0.19958186149597168
0.004700660705566406,0.008002042770385742,0.0067903995513916016,0.13279080390930176
0.004296302795410156,0.00715327262878418,0.005907535552978516,0.007181882858276367
0.0050046443939208984,0.008416175842285156,0.005654811859130859,0.16364026069641113
0.0047032833099365234,0.0073146820068359375,0.005609750747680664,0.007819414138793945
0.003772258758544922,0.007002115249633789,0.005753993988037109,0.14706873893737793
0.003642559051513672,0.008822441101074219,0.006227731704711914,0.11657166481018066
0.004645586013793945,0.008464574813842773,0.006041288375854492,0.2727627754211426
0.004545927047729492,0.007144451141357422,0.01566481590270996,0.21608233451843262
0.0051364898681640625,0.006412029266357422,0.007050752639770508,0.06685161590576172
0.004067420959472656,0.006322145462036133,0.005019187927246094,0.29253411293029785
0.0038878917694091797,0.006462574005126953,0.00616002082824707,0.14733576774597168
0.003910541534423828,0.006135702133178711,0.020036935806274414,0.17921710014343262
0.004973888397216797,0.0067901611328125,0.006036520004272461,0.2119908332824707
0.0040357112884521484,0.006234169006347656,0.013406991958618164,0.008399248123168945
0.025592565536499023,0.013651132583618164,0.01538395881652832,0.27491164207458496
0.005313873291015625,0.007341861724853516,0.006946563720703125,0.29386329650878906
0.004832029342651367,0.008548498153686523,0.028020620346069336,0.20050835609436035
0.003499746322631836,0.006130695343017578,0.004979848861694336,0.08149051666259766
0.003787517547607422,0.006352424621582031,0.005505084991455078,0.0061109066009521484
